Naam;Webadres;Tel;KvKnr;Plaats;SBICode;SBINaam;Kans;Keten;Typering;AantalMedewerkers;TJ_Warmte;TJ_CondWarmte;NM3Gas_CondWarmte;Red_tonCO2_CondWarmte;TJ_MTWarmte;NM3Gas_MTWarmte;kWh_MTWarmte;Red_tonCO2_MTWarmte;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Diepvries Urk BV;www.diepvriesurk.nl;0527-684500;39041123.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU01840004;GM0184;8321.0;8321MA;BU01840004;GM0184;8321.0;8321MA;BU01840004;GM0184;8321.0;8321MA;False;False;False;52.655200005661996;5.613640000824604;WarmteAtlas:CondensWarmte;;;
Southeast Frozen BV;www.noordzeeurk.com;0527-680700;39088075.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU01840004;GM0184;8321.0;8321MA;BU01840004;GM0184;8321.0;8321MA;BU01840004;GM0184;8321.0;8321MA;False;False;False;52.65430000554294;5.613480001274385;WarmteAtlas:CondensWarmte;;;
Mayonna BV;www.kennemervis.nl;033-2475020;32034701.0;BUNSCHOTEN-SPAKENBURG;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU03130002;GM0313;3751.0;3751BL;BU03130002;GM0313;3751.0;3751BL;BU03130002;GM0313;3751.0;3751BL;False;False;False;52.24970000585877;5.383370000688408;WarmteAtlas:CondensWarmte;;;
Fishpartners BV;www.fishpartners.nl;033-2998010;31023031.0;BUNSCHOTEN-SPAKENBURG;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;350;20.558003;45.265639;1589000;2998.443;57.499595;2019000;3776000;1823.677;BU03130002;GM0313;3751.0;3751BG;BU03130002;GM0313;3751.0;3751BG;BU03130002;GM0313;3751.0;3751BG;False;False;False;52.24990000576866;5.387130000758723;WarmteAtlas:CondensWarmte;;;
Visverwerkingsbedrijf gebr. Kramer BV;www.isolafish.nl;0527-681998;39027997.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;75;4.405286;9.69978;341000;643.467;12.321342;433000;809000;391.537;BU01840004;GM0184;8321.0;8321DW;BU01840004;GM0184;8321.0;8321DW;BU01840004;GM0184;8321.0;8321DW;False;False;False;52.658800005901554;5.605300000992487;WarmteAtlas:CondensWarmte;;;
HMO Visverwerkers BV;www.thefishcompany.nl;0517-418860;33271178.0;HARLINGEN;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU00720006;GM0072;8861.0;8861NV;BU00720006;GM0072;8861.0;8861NV;BU00720006;GM0072;8861.0;8861NV;False;False;False;53.18410000611622;5.429240001821608;WarmteAtlas:CondensWarmte;;;
Seafood Packaging Harlingen BV;;0517-417173;1061407.0;HARLINGEN;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;75;4.405286;9.69978;341000;643.467;12.321342;433000;809000;391.537;BU00720005;GM0072;8861.0;8861KN;BU00720005;GM0072;8861.0;8861KN;BU00720005;GM0072;8861.0;8861KN;False;False;False;53.17510000572309;5.444590000725702;WarmteAtlas:CondensWarmte;;;
Rodi BV;www.rodivis.nl;0527-685561;39050103.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;15;0.881057;1.939956;68000;128.316;2.464268;87000;162000;78.957;BU01840004;GM0184;8321.0;8321MC;BU01840004;GM0184;8321.0;8321MC;BU01840004;GM0184;8321.0;8321MC;False;False;False;52.65500000580078;5.618140000963579;WarmteAtlas:CondensWarmte;;;
Platvis Holland BV;www.platvis.nl;0299-374375;36011787.0;EDAM;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;75;4.405286;9.69978;341000;643.467;12.321342;433000;809000;391.537;BU03850002;GM0385;1135.0;1135GA;BU03850002;GM0385;1135.0;1135GA;BU03850002;GM0385;1135.0;1135GA;False;False;False;52.51560000594683;5.039140000977861;WarmteAtlas:CondensWarmte;;;
Van der Lee Seafish BV;www.vanderleeseafisch.nl;0527-689010;39037054.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;150;8.810573;19.399559;681000;1285.047;24.642684;865000;1618000;781.187;BU01840004;GM0184;8321.0;8321WC;BU01840004;GM0184;8321.0;8321WC;BU01840004;GM0184;8321.0;8321WC;False;False;False;52.65380000565458;5.61401000184428;WarmteAtlas:CondensWarmte;;;
Bond Rokerij BV;www.bondseafood.com;076-5711666;20110178.0;BREDA;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;15;0.881057;1.939956;68000;128.316;2.464268;87000;162000;78.957;BU07580204;GM0758;4817.0;4817BL;BU07580204;GM0758;4817.0;4817BL;BU07580204;GM0758;4817.0;4817BL;False;False;False;51.59700000502993;4.827140000389948;WarmteAtlas:CondensWarmte;;;
Baarssen Fish Processing BV;;0527-820010;39072413.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;75;4.405286;9.69978;341000;643.467;12.321342;433000;809000;391.537;BU01840004;GM0184;8321.0;8321MB;BU01840004;GM0184;8321.0;8321MB;BU01840004;GM0184;8321.0;8321MB;False;False;False;52.65670000559567;5.610990001093137;WarmteAtlas:CondensWarmte;;;
VOF De Vries Romkes;;0527-688333;39041073.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;15;0.881057;1.939956;68000;128.316;2.464268;87000;162000;78.957;BU01840004;GM0184;8321.0;8321WN;BU01840004;GM0184;8321.0;8321WN;BU01840004;GM0184;8321.0;8321WN;False;False;False;52.653300005739;5.62359000184535;WarmteAtlas:CondensWarmte;;;
Lenger Seafoods Yerseke BV;www.lengerseafoods.nl;0113-579279;22019862.0;YERSEKE;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;150;8.810573;19.399559;681000;1285.047;24.642684;865000;1618000;781.187;BU07030000;GM0703;4401.0;4401LA;BU07030000;GM0703;4401.0;4401LA;BU07030000;GM0703;4401.0;4401LA;False;False;False;51.501200005273375;4.049379999554493;WarmteAtlas:CondensWarmte;;;
Lenger Seafoods Harlingen BV;www.lengerseafoods.nl;0517-414455;1042634.0;HARLINGEN;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU00720001;GM0072;8861.0;8861VH;BU00720001;GM0072;8861.0;8861VH;BU00720001;GM0072;8861.0;8861VH;False;False;False;53.17560000564282;5.439030001542506;WarmteAtlas:CondensWarmte;;;
"Haringfileerderij """"De Maatjes"""" BV";;033-2990010;31032522.0;BUNSCHOTEN-SPAKENBURG;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU03130005;GM0313;3752.0;3752HA;BU03130005;GM0313;3752.0;3752HA;BU03130005;GM0313;3752.0;3752HA;False;False;False;52.24900000562963;5.372270001799459;WarmteAtlas:CondensWarmte;;;
Paling- en Zalmfileerderij J. Foppen Jzn BV;www.foppenpalingenzalm.nl;0341-412696;8010568.0;HARDERWIJK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;350;20.558003;45.265639;1589000;2998.443;57.499595;2019000;3776000;1823.677;BU02431302;GM0243;3846.0;3846BX;BU02431302;GM0243;3846.0;3846BX;BU02431302;GM0243;3846.0;3846BX;False;False;False;52.36270000557281;5.646320002223042;WarmteAtlas:CondensWarmte;;;
Neerlandia Urk BV;www.neerlandia.com;0527-206530;39025312.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;150;8.810573;19.399559;681000;1285.047;24.642684;865000;1618000;781.187;BU01840004;GM0184;8321.0;8321WH;BU01840004;GM0184;8321.0;8321WH;BU01840004;GM0184;8321.0;8321WH;False;False;False;52.65220000599722;5.621800001614377;WarmteAtlas:CondensWarmte;;;
Vishandel Almelo;www.vishandelalmelo.nl;071-4080808;27068561.0;KATWIJK ZH;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU05370202;GM0537;2222.0;2222AK;BU05370202;GM0537;2222.0;2222AK;BU05370202;GM0537;2222.0;2222AK;False;False;False;52.201600005448064;4.430819999785178;WarmteAtlas:CondensWarmte;;;
Louw Spijkerman Zeevis BV;;0519-349080;1053062.0;LAUWERSOOG;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;15;0.881057;1.939956;68000;128.316;2.464268;87000;162000;78.957;BU19660102;GM1966;9976.0;9976VN;BU19660102;GM1966;9976.0;9976VN;BU19660102;GM1966;9976.0;9976VN;False;False;False;53.407400006522906;6.203670002119671;WarmteAtlas:CondensWarmte;;;
Northseafood Holland BV;www.northseafood.com;0527-684222;39034585.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;350;20.558003;45.265639;1589000;2998.443;57.499595;2019000;3776000;1823.677;BU01840004;GM0184;8321.0;8321EE;BU01840004;GM0184;8321.0;8321EE;BU01840004;GM0184;8321.0;8321EE;False;False;False;52.65690000611267;5.609000001958616;WarmteAtlas:CondensWarmte;;;
Jac. den Dulk en Zonen BV;www.dulk.nl;070-3549090;27085222.0;'S-GRAVENHAGE;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU05180702;GM0518;2583.0;2583DJ;BU05180702;GM0518;2583.0;2583DJ;BU05180702;GM0518;2583.0;2583DJ;False;False;False;52.09910000575213;4.267120000287533;WarmteAtlas:CondensWarmte;;;
Marine Harvest Sterk BV;www.marineharvest.com;0514-568600;1053137.0;LEMMER;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;150;8.810573;19.399559;681000;1285.047;24.642684;865000;1618000;781.187;BU19402303;GM1940;8531.0;8531HJ;BU19402303;GM1940;8531.0;8531HJ;BU19402303;GM1940;8531.0;8531HJ;False;False;False;52.84260000620043;5.7079500019481655;WarmteAtlas:CondensWarmte;;;
Sushi Ran BV;www.sushiran.nl;0172-503434;28091427.0;LEIMUIDEN;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;75;4.405286;9.69978;341000;643.467;12.321342;433000;809000;391.537;BU18840400;GM1884;2451.0;2451VV;BU18840400;GM1884;2451.0;2451VV;BU18840400;GM1884;2451.0;2451VV;False;False;False;52.223800005842996;4.682280000878309;WarmteAtlas:CondensWarmte;;;
Jan Prins Zeeuwsche Banier BV;www.prinsendingemanse.com;0113-573010;22025020.0;YERSEKE;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU07030001;GM0703;4401.0;4401NC;BU07030001;GM0703;4401.0;4401NC;BU07030001;GM0703;4401.0;4401NC;False;False;False;51.484200005469134;4.041410000352894;WarmteAtlas:CondensWarmte;;;
Ocean Fish BV;www.oceanfish.nl;0317-428539;9102263.0;WAGENINGEN;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU02890802;GM0289;6702.0;6702AA;BU02890802;GM0289;6702.0;6702AA;BU02890802;GM0289;6702.0;6702AA;False;False;False;51.96340000536365;5.658800001787703;WarmteAtlas:CondensWarmte;;;
Gebr. Kraan Palingrokerij BV;www.gebrkraan.nl;0527-242430;28091414.0;ENKHUIZEN;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU03880303;GM0388;1601.0;1601ET;BU03880303;GM0388;1601.0;1601ET;BU03880303;GM0388;1601.0;1601ET;False;False;False;52.69160000555279;5.277650001274637;WarmteAtlas:CondensWarmte;;;
Korf Vis BV;www.korfvis.nl;0527-683050;39041225.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU01840004;GM0184;8321.0;8321EE;BU01840004;GM0184;8321.0;8321EE;BU01840004;GM0184;8321.0;8321EE;False;False;False;52.65610000603006;5.6080900022171924;WarmteAtlas:CondensWarmte;;;
Roem van Yerseke BV;www.roemvanyerseke.nl;0113-577700;22010806.0;YERSEKE;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;150;8.810573;19.399559;681000;1285.047;24.642684;865000;1618000;781.187;BU07030000;GM0703;4401.0;4401KZ;BU07030000;GM0703;4401.0;4401KZ;BU07030000;GM0703;4401.0;4401KZ;False;False;False;51.500100004924036;4.046849999805446;WarmteAtlas:CondensWarmte;;;
Fishpartners BV;www.fishpartners.nl;0527-680720;31023031.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU01840004;GM0184;8321.0;8321WH;BU01840004;GM0184;8321.0;8321WH;BU01840004;GM0184;8321.0;8321WH;False;False;False;52.65290000595828;5.621800001208374;WarmteAtlas:CondensWarmte;;;
Starfish Processing BV;www.starfish.nl;0527-689080;39068350.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU01840004;GM0184;8321.0;8321EG;BU01840004;GM0184;8321.0;8321EG;BU01840004;GM0184;8321.0;8321EG;False;False;False;52.656000006074485;5.610370001500436;WarmteAtlas:CondensWarmte;;;
H. van Wijnen BV;www.hvanwijnen.nl;0180-512655;24062631.0;KRIMPEN AAN DEN IJSSEL;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;150;8.810573;19.399559;681000;1285.047;24.642684;865000;1618000;781.187;BU05420000;GM0542;2921.0;2921LR;BU05420000;GM0542;2921.0;2921LR;BU05420000;GM0542;2921.0;2921LR;False;False;False;51.906600005304114;4.577080000032158;WarmteAtlas:CondensWarmte;;;
Jan Veerman Vis BV;www.janveermanvis.nl;035-5240214;32113240.0;HUIZEN;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU04060513;GM0406;1271.0;1271EJ;BU04060513;GM0406;1271.0;1271EJ;BU04060513;GM0406;1271.0;1271EJ;False;False;False;52.30610000553296;5.244730001152923;WarmteAtlas:CondensWarmte;;;
Paling- en Zalmfileerderij J. Foppen Jzn. BV;www.foppenpalingenzalm.nl;0341-412696;8010568.0;HARDERWIJK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU02431301;GM0243;3846.0;3846AT;BU02431301;GM0243;3846.0;3846AT;BU02431301;GM0243;3846.0;3846AT;False;False;False;52.35580000539665;5.6416000018619785;WarmteAtlas:CondensWarmte;;;
Patent Contracting BV;;070-3899675;61067342.0;'S-GRAVENHAGE;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;35;2.0558;4.526564;159000;300.033;5.74996;202000;378000;182.346;BU05183822;GM0518;2521.0;2521AH;BU05183822;GM0518;2521.0;2521AH;BU05183822;GM0518;2521.0;2521AH;False;False;False;52.061500005464026;4.314730000137887;WarmteAtlas:CondensWarmte;;;
Rodi BV;;0527-685561;39050103.0;URK;1020;Visverwerking;Biogas&Meststoffen;BioMassa;BioProductie;15;0.881057;1.939956;68000;128.316;2.464268;87000;162000;78.957;BU01840004;GM0184;8321.0;8321MB;BU01840004;GM0184;8321.0;8321MB;BU01840004;GM0184;8321.0;8321MB;False;False;False;52.65600000613791;5.61344000201072;WarmteAtlas:CondensWarmte;;;
Leijtens Snacks en Frites;www.leijtensgvb.nl;0497-641756;17093389.0;REUSEL;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;15;15.330301;11.749462;412000;777.444;14.924993;524000;980000;473.308;BU16670000;GM1667;5541.0;5541CV;BU16670000;GM1667;5541.0;5541CV;BU16670000;GM1667;5541.0;5541CV;False;False;False;51.36190000471155;5.174320001409587;WarmteAtlas:CondensWarmte;;;
Quik's Potato Products BV;www.quicklybestsellers.nl;073-5999108;11046867.0;HEDEL;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;35;35.770703;27.415412;962000;1815.294;34.824983;1223000;2287000;1104.839;BU02630208;GM0263;5321.0;5321HG;BU02630208;GM0263;5321.0;5321HG;BU02630208;GM0263;5321.0;5321HG;False;False;False;51.744100005264436;5.250680000454596;WarmteAtlas:CondensWarmte;;;
Lamb Weston Meijer VOF;www.lambweston.com;0518-481641;22036226.0;KLOOSTER LIDLUM;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;150;153.303014;117.494624;4125000;7783.875;149.249927;5240000;9801000;4732.554;BU19493300;GM1949;8853.0;8853GN;BU19493300;GM1949;8853.0;8853GN;BU19493300;GM1949;8853.0;8853GN;False;False;False;53.233900005670726;5.520690002007425;WarmteAtlas:CondensWarmte;;;
Rixona BV;www.rixona.nl;0478-524747;2020914.0;OOSTRUM LB;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;35;35.770703;27.415412;962000;1815.294;34.824983;1223000;2287000;1104.839;BU09840601;GM0984;5807.0;5807EJ;BU09840601;GM0984;5807.0;5807EJ;BU09840601;GM0984;5807.0;5807EJ;False;False;False;51.52110000559127;6.024390001488771;WarmteAtlas:CondensWarmte;;;
Mccain Foods Holland BV;www.mccain.nl;023-5584744;22000299.0;HOOFDDORP;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;75;76.651507;58.747312;2062000;3890.994;74.624964;2620000;4901000;2366.014;BU03940125;GM0394;2132.0;2132WT;BU03940125;GM0394;2132.0;2132WT;BU03940125;GM0394;2132.0;2132WT;False;False;False;52.291700005955995;4.711800000559285;WarmteAtlas:CondensWarmte;;;
Lamb-Weston/Meijer VOF;www.lambweston.com;0113-394955;22036226.0;KRUININGEN;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;1500;1533.030139;1174.946236;41248000;77834.976;1492.499273;52396000;98010000;47317.992;BU07030106;GM0703;4416.0;4416PJ;BU07030106;GM0703;4416.0;4416PJ;BU07030106;GM0703;4416.0;4416PJ;False;False;False;51.4648000055405;4.035519999954986;WarmteAtlas:CondensWarmte;;;
Rixona BV;www.rixona.nl;0478-524747;2020914.0;WARFFUM;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;75;76.651507;58.747312;2062000;3890.994;74.624964;2620000;4901000;2366.014;BU19660901;GM1966;9989.0;9989EE;BU19660901;GM1966;9989.0;9989EE;BU19660901;GM1966;9989.0;9989EE;False;False;False;53.394500006239554;6.526010002713728;WarmteAtlas:CondensWarmte;;;
Agristo BV;www.agristo.nl;013-5780780;18076913.0;TILBURG;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;150;153.303014;117.494624;4125000;7783.875;149.249927;5240000;9801000;4732.554;BU08556004;GM0855;5047.0;5047TS;BU08556004;GM0855;5047.0;5047TS;BU08556004;GM0855;5047.0;5047TS;False;False;False;51.592800005219296;5.0160100008432975;WarmteAtlas:CondensWarmte;;;
Peka Kroef BV;www.pekakroef.nl;0413-279279;16067892.0;ODILIAPEEL;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;350;357.707032;274.154122;9625000;18162.375;348.24983;12226000;22869000;11041.368;BU19910399;GM1991;5409.0;5409SX;BU19910399;GM1991;5409.0;5409SX;BU19910399;GM1991;5409.0;5409SX;False;False;False;51.648000005070145;5.723040001626773;WarmteAtlas:CondensWarmte;;;
Bergia Distributiebedrijven BV;www.bergia.com;0475-329542;13023167.0;ROERMOND;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;35;35.770703;27.415412;962000;1815.294;34.824983;1223000;2287000;1104.839;BU09570202;GM0957;6045.0;6045JG;BU09570202;GM0957;6045.0;6045JG;BU09570202;GM0957;6045.0;6045JG;False;False;False;51.172100004747044;6.037150002136457;WarmteAtlas:CondensWarmte;;;
Farm Frites BV;www.farmfrites.com;0181-466888;24222801.0;OUDENHOORN;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;150;153.303014;117.494624;4125000;7783.875;149.249927;5240000;9801000;4732.554;BU19921003;GM1992;3227.0;3227CD;BU19921003;GM1992;3227.0;3227CD;BU19921003;GM1992;3227.0;3227CD;False;False;False;51.822400005548545;4.164369999523564;WarmteAtlas:CondensWarmte;;;
Mccain Foods Holland BV;www.mccain.nl;0320-298100;22000299.0;LELYSTAD;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;150;153.303014;117.494624;4125000;7783.875;149.249927;5240000;9801000;4732.554;BU09951084;GM0995;8211.0;8211AG;BU09951084;GM0995;8211.0;8211AG;BU09951084;GM0995;8211.0;8211AG;False;False;False;52.54020000579801;5.526530001348541;WarmteAtlas:CondensWarmte;;;
Busser Horeca Service BV;;055-5422555;8048563.0;APELDOORN;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;15;15.330301;11.749462;412000;777.444;14.924993;524000;980000;473.308;BU02000409;GM0200;7332.0;7332BR;BU02000409;GM0200;7332.0;7332BR;BU02000409;GM0200;7332.0;7332BR;False;False;False;52.18060000565049;5.988470001598266;WarmteAtlas:CondensWarmte;;;
McCain Foods Holland BV;www.mccain.nl;0113-615600;22000299.0;'S-HEER ARENDSKERKE;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;625;638.762558;489.560932;17187000;32431.869;621.874697;21832000;40838000;19716.196;BU06640551;GM0664;4458.0;4458NM;BU06640551;GM0664;4458.0;4458NM;BU06640551;GM0664;4458.0;4458NM;False;False;False;51.50150000561785;3.7485800001556986;WarmteAtlas:CondensWarmte;;;
Aviko-Kloosterboer Verpakkingen BV;www.diepvries.com;0314-376080;9093189.0;DOETINCHEM;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;35;35.770703;27.415412;962000;1815.294;34.824983;1223000;2287000;1104.839;BU02220802;GM0222;7008.0;7008AR;BU02220802;GM0222;7008.0;7008AR;BU02220802;GM0222;7008.0;7008AR;False;False;False;51.97290000554783;6.269960002495787;WarmteAtlas:CondensWarmte;;;
Aviko BV;www.aviko.nl;0575-458200;8027672.0;STEENDEREN;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;625;638.762558;489.560932;17187000;32431.869;621.874697;21832000;40838000;19716.196;BU18760300;GM1876;7221.0;7221CD;BU18760300;GM1876;7221.0;7221CD;BU18760300;GM1876;7221.0;7221CD;False;False;False;52.065400005024344;6.191430002673535;WarmteAtlas:CondensWarmte;;;
Lamb Weston Meijer VOF;www.lambweston.nl;0164-272500;22036226.0;BERGEN OP ZOOM;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;150;153.303014;117.494624;4125000;7783.875;149.249927;5240000;9801000;4732.554;BU07480306;GM0748;4612.0;4612PN;BU07480306;GM0748;4612.0;4612PN;BU07480306;GM0748;4612.0;4612PN;False;False;False;51.50260000547726;4.2723100001926175;WarmteAtlas:CondensWarmte;;;
Aviko BV;www.aviko.com;077-4737373;8027672.0;LOMM;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;150;153.303014;117.494624;4125000;7783.875;149.249927;5240000;9801000;4732.554;BU09834302;GM0983;5943.0;5943AD;BU09834302;GM0983;5943.0;5943AD;BU09834302;GM0983;5943.0;5943AD;False;False;False;51.44680000482195;6.178740001974935;WarmteAtlas:CondensWarmte;;;
Royaan BV;www.royaan.nl;0343-596659;30081032.0;OOSTZAAN;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;350;357.707032;274.154122;9625000;18162.375;348.24983;12226000;22869000;11041.368;BU04310000;GM0431;1511.0;1511JZ;BU04310000;GM0431;1511.0;1511JZ;BU04310000;GM0431;1511.0;1511JZ;False;False;False;52.43280000601056;4.863500001202283;WarmteAtlas:CondensWarmte;;;
Frites uit Zuyd BV;www.fritesuitzuyd.nl;020-2613737;62948873.0;ZAANDAM;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;15;15.330301;11.749462;412000;777.444;14.924993;524000;980000;473.308;BU04792110;GM0479;1505.0;1505RH;BU04792112;GM0479;1505.0;1505RH;BU04792112;GM0479;1505.0;1505RH;True;False;False;52.420600005313325;4.830820001382061;WarmteAtlas:CondensWarmte;;;
McCain Foods Europe BV;;038-8459700;22032860.0;WEZEP;1031;Vervaardiging van aardappelproducten;Biogas&Meststoffen;BioMassa;BioProductie;350;357.707032;274.154122;9625000;18162.375;348.24983;12226000;22869000;11041.368;BU02690103;GM0269;8091.0;8091BS;BU02690103;GM0269;8091.0;8091BS;BU02690103;GM0269;8091.0;8091BS;False;False;False;52.45150000555411;5.993940002234457;WarmteAtlas:CondensWarmte;;;
A.L. Hoogesteger Fresh Specialist BV;www.hoogesteger.nl;020-4073000;34065005.0;ZWANENBURG;1032;Vervaardiging van fruit- en groentesap;Biogas&Meststoffen;BioMassa;BioProductie;150;32.093484;10.646935;374000;705.738;13.524484;475000;888000;429.237;BU03940349;GM0394;1161.0;1161BW;BU03940349;GM0394;1161.0;1161BW;BU03940349;GM0394;1161.0;1161BW;False;False;False;52.37990000601223;4.738410001112953;WarmteAtlas:CondensWarmte;;;
Döhler Holland BV;www.doehler.com;0162-479500;20033050.0;OOSTERHOUT NB;1032;Vervaardiging van fruit- en groentesap;Biogas&Meststoffen;BioMassa;BioProductie;350;74.884795;24.842847;872000;1645.464;31.55713;1108000;2072000;1000.924;BU08260800;GM0826;4903.0;4903RG;BU08260800;GM0826;4903.0;4903RG;BU08260800;GM0826;4903.0;4903RG;False;False;False;51.62480000509083;4.876100001319626;WarmteAtlas:CondensWarmte;;;
Passina Products BV;www.passina.com;076-5722880;20088611.0;BREDA;1032;Vervaardiging van fruit- en groentesap;Biogas&Meststoffen;BioMassa;BioProductie;35;7.48848;2.484285;87000;164.169;3.155713;111000;207000;100.575;BU07580105;GM0758;4815.0;4815HA;BU07580105;GM0758;4815.0;4815HA;BU07580105;GM0758;4815.0;4815HA;False;False;False;51.59710000497143;4.769140000627897;WarmteAtlas:CondensWarmte;;;
Frieslandcampina Riedel BV;www.frieslandcampina.com;0318-679911;9172592.0;EDE GLD;1032;Vervaardiging van fruit- en groentesap;Biogas&Meststoffen;BioMassa;BioProductie;350;74.884795;24.842847;872000;1645.464;31.55713;1108000;2072000;1000.924;BU02281001;GM0228;6717.0;6717AG;BU02281001;GM0228;6717.0;6717AG;BU02281001;GM0228;6717.0;6717AG;False;False;False;52.03200000506021;5.64686000128247;WarmteAtlas:CondensWarmte;;;
